id_x,shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id,shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month,id_y,company_rating,company_location,total_fleet_count,iata_approved
29755,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,False,False,1169.0,28884,29755,93.0,9.0,10.0,10.0,10.0,9.0,9.0,23,0.27,28884,1.0,Micronesia,2.0,True
12358,Barbados,Type V5,Plasma,ThetaBase Services,2.0,3,strict,2.0,True,False,3470.0,42114,12358,95.0,9.0,9.0,10.0,10.0,10.0,9.0,23,0.28,42114,1.0,Sao Tome and Principe,3.0,True
259,Rwanda,Type V5,Plasma,ThetaBase Services,1.0,3,moderate,1.0,True,False,2495.0,31859,259,94.0,10.0,10.0,10.0,10.0,9.0,9.0,182,1.97,31859,1.0,Maldives,2.0,False
71339,Marshall Islands,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1390.0,4795,71339,96.0,10.0,9.0,10.0,10.0,9.0,10.0,55,0.59,4795,1.0,Malta,1.0,False
56080,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,4,moderate,2.0,False,False,2040.0,5570,56080,100.0,10.0,10.0,10.0,10.0,10.0,10.0,26,1.07,5570,1.0,Finland,1.0,True
66614,Malta,Type V5,Plasma,ThetaBase Services,2.0,5,strict,3.0,False,False,3210.0,33906,66614,93.0,9.0,9.0,9.0,9.0,10.0,9.0,15,0.18,33906,0.8,Marshall Islands,1.0,False
16137,Niue,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1455.0,11781,16137,96.0,9.0,9.0,10.0,10.0,9.0,9.0,65,0.71,11781,1.0,Guinea,2.0,True
54844,Niue,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,False,False,1377.0,32063,54844,94.0,10.0,9.0,10.0,10.0,9.0,9.0,74,1.05,32063,1.0,Niue,2.0,True
58486,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,False,False,2625.0,14240,58486,60.0,9.0,8.0,8.0,8.0,9.0,7.0,3,0.03,14240,1.0,Chile,3.0,True
14259,Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,3,strict,2.0,False,False,1650.0,14191,14259,91.0,9.0,9.0,10.0,10.0,10.0,9.0,202,2.2,14191,1.0,Slovakia (Slovak Republic),1.0,False
5637,United Kingdom,Type G0,Plasma,ThetaBase Services,2.0,5,strict,2.0,True,False,3028.0,37646,5637,87.0,9.0,9.0,9.0,9.0,9.0,9.0,25,0.34,37646,1.0,Estonia,60.0,False
23951,Micronesia,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1429.0,15391,23951,97.0,10.0,10.0,10.0,10.0,9.0,10.0,34,0.93,15391,0.9,Niger,2.0,True
2990,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,2235.0,14240,2990,95.0,9.0,9.0,10.0,10.0,10.0,9.0,25,0.28,14240,1.0,Chile,3.0,True
7653,Costa Rica,Type V5,Plasma,ThetaBase Services,1.0,4,strict,2.0,True,False,2300.0,37392,7653,94.0,10.0,10.0,10.0,10.0,9.0,9.0,70,0.8,37392,1.0,Micronesia,7.0,True
40515,Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1416.0,9011,40515,97.0,10.0,9.0,9.0,10.0,10.0,9.0,64,0.73,9011,1.0,Russian Federation,1.0,False
45692,Niue,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,False,False,1845.0,26524,45692,91.0,9.0,10.0,10.0,10.0,8.0,9.0,15,0.28,26524,1.0,Guinea,2.0,True
15000,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,0.0,True,False,1611.0,35807,15000,97.0,10.0,10.0,10.0,10.0,9.0,10.0,141,1.6,35807,1.0,Sao Tome and Principe,2.0,False
48747,Malta,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,False,False,2170.0,13525,48747,97.0,10.0,9.0,10.0,10.0,9.0,10.0,21,0.3,13525,1.0,Nauru,1.0,False
43966,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,False,False,1715.0,29563,43966,85.0,9.0,9.0,10.0,10.0,9.0,9.0,4,0.13,29563,1.0,Jersey,2.0,False
18155,Malta,Type V5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,False,False,1767.0,794,18155,99.0,10.0,10.0,10.0,10.0,10.0,10.0,134,1.51,794,1.0,Indonesia,1.0,False
58876,Kiribati,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1845.0,283,58876,70.0,9.0,9.0,10.0,10.0,9.0,7.0,5,0.06,283,1.0,United Kingdom,1.0,True
24706,Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,False,False,2157.0,20847,24706,100.0,10.0,10.0,6.0,10.0,8.0,10.0,1,0.01,20847,1.0,Bouvet Island (Bouvetoya),2.0,True
70604,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,4,strict,3.0,False,False,1650.0,14602,70604,96.0,10.0,9.0,9.0,10.0,9.0,9.0,18,0.21,14602,1.0,Malawi,1.0,True
22234,United Kingdom,Type G0,Plasma,ThetaBase Services,1.0,3,strict,1.0,True,False,2872.0,37646,22234,73.0,7.0,9.0,9.0,9.0,9.0,8.0,7,0.1,37646,1.0,Estonia,60.0,False
16340,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,4,strict,3.0,False,False,2105.0,45546,16340,94.0,9.0,9.0,10.0,10.0,10.0,9.0,42,0.49,45546,1.0,Cape Verde,19.0,True
41203,Rwanda,Type G0,Plasma,ThetaBase Services,2.0,5,strict,2.0,True,False,3015.0,37646,41203,83.0,8.0,8.0,8.0,8.0,9.0,9.0,20,0.29,37646,1.0,Estonia,60.0,False
17610,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1325.0,39713,17610,94.0,9.0,10.0,10.0,10.0,9.0,9.0,63,0.73,39713,1.0,Denmark,4.0,False
6684,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,5,strict,2.0,False,False,2560.0,6518,6684,87.0,9.0,8.0,9.0,10.0,9.0,9.0,30,0.35,6518,1.0,Uzbekistan,1.0,False
31569,United Kingdom,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,False,False,3990.0,32603,31569,88.0,9.0,9.0,9.0,9.0,9.0,9.0,193,2.27,32603,0.83,Nicaragua,4.0,True
13839,Malta,Type V5,Quantum,ThetaBase Services,2.0,2,strict,2.0,False,False,1585.0,9829,13839,100.0,10.0,10.0,10.0,8.0,10.0,10.0,2,0.02,9829,0.7,Nauru,1.0,False
32376,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,3,strict,2.0,False,False,1585.0,10204,32376,92.0,10.0,10.0,9.0,9.0,10.0,9.0,431,5.0,10204,1.0,Nicaragua,5.0,True
35048,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,strict,3.0,False,False,3405.0,45546,35048,93.0,10.0,9.0,9.0,10.0,10.0,9.0,46,0.53,45546,1.0,Cape Verde,19.0,True
77029,Malta,Type V5,Plasma,ThetaBase Services,1.0,3,moderate,1.0,False,False,2430.0,17703,77029,94.0,10.0,9.0,10.0,10.0,10.0,9.0,108,1.34,17703,1.0,Marshall Islands,1.0,False
57334,Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,False,False,1390.0,293,57334,96.0,10.0,9.0,10.0,10.0,10.0,10.0,28,0.33,293,1.0,Lebanon,1.0,False
2266,Bouvet Island (Bouvetoya),Type V2,Plasma,ThetaBase Services,3.0,8,strict,4.0,False,False,2469.0,44853,2266,98.0,10.0,10.0,10.0,10.0,9.0,10.0,21,0.25,44853,1.0,Lebanon,2.0,False
24650,Rwanda,Type F5,Plasma,ThetaBase Services,1.0,2,strict,2.0,False,False,2300.0,28458,24650,91.0,9.0,9.0,9.0,9.0,8.0,9.0,29,0.35,28458,1.0,Turkmenistan,6.0,False
40761,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,4,strict,3.0,False,False,2040.0,24133,40761,82.0,9.0,8.0,9.0,10.0,9.0,8.0,134,1.56,24133,1.0,Cuba,1.0,True
8691,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1325.0,4237,8691,89.0,9.0,9.0,9.0,9.0,9.0,9.0,38,0.47,4237,0.33,Holy See (Vatican City State),1.0,False
48391,Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,True,False,1325.0,39724,48391,88.0,9.0,9.0,9.0,9.0,9.0,9.0,120,1.45,39724,0.86,Sao Tome and Principe,2.0,False
56396,Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,False,False,1585.0,32659,56396,98.0,10.0,10.0,10.0,10.0,10.0,10.0,471,5.49,32659,1.0,Cuba,1.0,True
55579,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,3,strict,2.0,False,False,1481.0,10204,55579,93.0,9.0,10.0,9.0,10.0,10.0,9.0,390,4.58,10204,1.0,Nicaragua,5.0,True
28853,Anguilla,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,False,False,1247.0,36659,28853,97.0,10.0,10.0,10.0,10.0,9.0,10.0,43,0.5,36659,1.0,Anguilla,2.0,True
68424,Russian Federation,Type V5,Quantum,ThetaBase Services,2.0,3,moderate,2.0,False,False,1910.0,31686,68424,95.0,10.0,10.0,10.0,10.0,10.0,9.0,39,0.46,31686,1.0,Finland,1.0,True
14058,Malta,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1312.0,8654,14058,93.0,10.0,10.0,10.0,10.0,10.0,10.0,8,1.27,8654,1.0,Christmas Island,3.0,False
42319,Malta,Type V5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,True,False,1429.0,38347,42319,93.0,10.0,10.0,9.0,10.0,10.0,9.0,67,1.75,38347,1.0,El Salvador,1.0,False
44970,Anguilla,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1520.0,46667,44970,97.0,10.0,10.0,10.0,10.0,9.0,10.0,67,0.82,46667,1.0,United Kingdom,1.0,False
38755,Costa Rica,Type O3,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1845.0,37392,38755,98.0,10.0,10.0,10.0,10.0,10.0,9.0,8,0.16,37392,1.0,Micronesia,7.0,True
62135,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,2105.0,1499,62135,95.0,10.0,9.0,10.0,10.0,10.0,10.0,37,0.75,1499,1.0,Tonga,2.0,True
65506,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1247.0,15164,65506,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1,0.02,15164,1.0,Tanzania,2.0,True
53927,Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,True,False,1780.0,21341,53927,98.0,10.0,10.0,9.0,10.0,9.0,9.0,17,0.21,21341,0.8,Tonga,1.0,False
31148,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,False,False,2820.0,34203,31148,99.0,10.0,10.0,10.0,10.0,10.0,10.0,74,0.95,34203,1.0,Uzbekistan,2.0,True
62620,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,True,False,2950.0,34259,62620,94.0,9.0,9.0,10.0,10.0,10.0,9.0,16,0.23,34259,1.0,Sao Tome and Principe,2.0,True
57908,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1559.0,8442,57908,95.0,10.0,10.0,10.0,10.0,9.0,9.0,343,4.26,8442,1.0,Tunisia,2.0,True
61273,Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1494.0,39724,61273,88.0,9.0,9.0,9.0,9.0,9.0,9.0,120,1.51,39724,0.86,Sao Tome and Principe,2.0,False
69882,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,1845.0,34126,69882,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.02,34126,1.0,French Guiana,1.0,True
46698,Uzbekistan,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1325.0,3777,46698,98.0,10.0,10.0,10.0,10.0,9.0,10.0,150,1.89,3777,1.0,Kiribati,1.0,True
62223,Malta,Type V5,Plasma,ThetaBase Services,2.0,5,strict,2.0,True,False,2001.0,40390,62223,86.0,9.0,8.0,10.0,9.0,9.0,9.0,160,2.11,40390,1.0,Marshall Islands,2.0,True
69763,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,True,False,1650.0,34259,69763,97.0,9.0,10.0,10.0,10.0,9.0,9.0,201,2.49,34259,1.0,Sao Tome and Principe,2.0,True
14185,Mexico,Type V2,Quantum,ThetaBase Services,1.0,2,flexible,1.0,True,False,1130.0,10950,14185,80.0,8.0,6.0,10.0,10.0,10.0,7.0,2,0.21,10950,1.0,Greenland,1.0,False
29920,Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,False,False,1130.0,27316,29920,83.0,8.0,8.0,9.0,9.0,8.0,8.0,23,0.36,27316,1.0,Puerto Rico,5.0,False
55265,Malta,Type V5,Plasma,ThetaBase Services,2.0,5,strict,2.0,False,False,2105.0,34753,55265,96.0,10.0,9.0,10.0,10.0,10.0,10.0,11,0.81,34753,1.0,El Salvador,1.0,True
48917,Faroe Islands,Type O3,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1520.0,1539,48917,100.0,10.0,9.0,10.0,10.0,9.0,9.0,3,0.06,1539,1.0,Micronesia,3.0,False
25889,Russian Federation,Type V2,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,2144.0,36524,25889,97.0,10.0,10.0,10.0,10.0,10.0,10.0,56,1.99,36524,1.0,Saint Helena,8.0,True
71387,Micronesia,Type V5,Plasma,ThetaBase Services,1.0,4,moderate,1.0,True,False,3145.0,4306,71387,85.0,9.0,8.0,9.0,9.0,10.0,8.0,193,2.39,4306,0.83,China,3.0,False
50007,Micronesia,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,False,False,2820.0,10079,50007,91.0,9.0,9.0,9.0,9.0,10.0,9.0,96,1.26,10079,1.0,Rwanda,1.0,False
63296,Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1.0,2,strict,2.0,False,False,1260.0,27316,63296,80.0,10.0,9.0,9.0,10.0,9.0,9.0,6,0.08,27316,1.0,Puerto Rico,5.0,False
1245,Gambia,Type V5,Plasma,ThetaBase Services,2.0,6,strict,4.0,False,False,2690.0,33823,1245,85.0,9.0,8.0,9.0,9.0,9.0,9.0,34,0.5,33823,0.78,France,17.0,True
27694,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,False,False,2820.0,19806,27694,96.0,10.0,9.0,10.0,10.0,9.0,9.0,24,0.45,19806,0.6,Papua New Guinea,1.0,False
15821,Rwanda,Type V7,Plasma,ThetaBase Services,2.0,6,strict,2.0,False,False,4445.0,19934,15821,94.0,9.0,10.0,10.0,10.0,9.0,9.0,84,1.04,19934,1.0,Svalbard & Jan Mayen Islands,2.0,True
45164,Rwanda,Type V2,Plasma,ThetaBase Services,2.0,6,moderate,3.0,True,False,2755.0,22324,45164,97.0,9.0,10.0,10.0,10.0,10.0,9.0,18,0.24,22324,1.0,Venezuela,6.0,True
30759,Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,2027.0,10865,30759,88.0,9.0,8.0,10.0,10.0,9.0,9.0,52,0.65,10865,0.88,Isle of Man,2.0,True
58248,Malta,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,True,False,1325.0,31381,58248,92.0,10.0,9.0,10.0,10.0,9.0,9.0,47,0.58,31381,1.0,Niue,2.0,False
3928,Malta,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,True,False,1325.0,31381,3928,93.0,9.0,9.0,10.0,10.0,9.0,9.0,133,1.63,31381,1.0,Niue,2.0,False
45061,Nicaragua,Type V5,Quantum,"Banks, Wood and Phillips",1.0,3,strict,1.0,False,False,1546.0,2115,45061,96.0,10.0,10.0,10.0,10.0,10.0,10.0,440,5.39,2115,1.0,Jersey,2.0,True
9738,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,5,strict,2.0,False,False,2950.0,2115,9738,95.0,10.0,9.0,10.0,10.0,10.0,9.0,29,0.47,2115,1.0,Jersey,2.0,True
25137,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,False,False,1351.0,41207,25137,90.0,9.0,8.0,10.0,10.0,9.0,9.0,116,1.42,41207,1.0,Svalbard & Jan Mayen Islands,1.0,True
59532,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1325.0,22030,59532,95.0,10.0,10.0,10.0,10.0,9.0,9.0,122,1.51,22030,1.0,French Guiana,3.0,True
28342,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1585.0,31871,28342,97.0,10.0,10.0,10.0,10.0,9.0,10.0,246,3.01,31871,1.0,Uzbekistan,1.0,True
61194,Uzbekistan,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1520.0,37632,61194,93.0,9.0,10.0,9.0,10.0,9.0,9.0,27,0.33,37632,1.0,Costa Rica,2.0,False
2390,Barbados,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1650.0,14700,2390,91.0,10.0,8.0,10.0,10.0,10.0,9.0,34,0.63,14700,1.0,Montserrat,3.0,False
50943,Barbados,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,False,False,1520.0,14700,50943,97.0,10.0,9.0,10.0,10.0,10.0,10.0,35,0.43,14700,1.0,Montserrat,3.0,False
18325,Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,False,False,1416.0,48879,18325,92.0,10.0,9.0,10.0,9.0,9.0,9.0,30,0.44,48879,1.0,Russian Federation,1.0,True
76729,Micronesia,Type V5,Plasma,ThetaBase Services,3.0,5,flexible,3.0,False,False,4510.0,37662,76729,96.0,10.0,8.0,10.0,10.0,10.0,9.0,10,0.15,37662,1.0,Kenya,2.0,True
30461,Rwanda,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,1780.0,10195,30461,91.0,9.0,10.0,10.0,9.0,9.0,9.0,21,0.27,10195,1.0,Croatia,1.0,True
75029,Anguilla,Type F5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,False,False,1520.0,7802,75029,97.0,10.0,10.0,10.0,10.0,9.0,10.0,156,1.92,7802,1.0,Anguilla,1.0,True
5819,Barbados,Type V5,Quantum,ThetaBase Services,0.0,2,strict,1.0,True,False,2833.0,37117,5819,92.0,9.0,9.0,9.0,10.0,10.0,9.0,161,1.99,37117,1.0,Slovakia (Slovak Republic),2.0,True
21106,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1390.0,33956,21106,95.0,10.0,9.0,10.0,10.0,9.0,9.0,58,0.74,33956,1.0,Lebanon,1.0,True
62917,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1195.0,17650,62917,90.0,9.0,10.0,10.0,10.0,10.0,10.0,2,0.45,17650,1.0,Tanzania,1.0,False
63824,United Kingdom,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,2040.0,39467,63824,99.0,10.0,10.0,10.0,10.0,10.0,10.0,286,3.55,39467,1.0,Nicaragua,4.0,True
28814,Bouvet Island (Bouvetoya),Type V7,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1793.0,5223,28814,99.0,10.0,10.0,10.0,10.0,10.0,10.0,102,1.27,5223,1.0,Chile,1.0,True
37297,Estonia,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,True,False,1195.0,33400,37297,93.0,9.0,9.0,10.0,10.0,9.0,9.0,169,2.14,33400,0.97,Zimbabwe,5.0,True
11190,Estonia,Type F5,Quantum,ThetaBase Services,1.0,3,moderate,2.0,True,False,1416.0,33400,11190,86.0,9.0,8.0,9.0,9.0,9.0,9.0,129,1.74,33400,0.97,Zimbabwe,5.0,True
16187,Russian Federation,Type V2,Quantum,ThetaBase Services,1.0,2,moderate,1.0,True,False,1494.0,13831,16187,93.0,9.0,9.0,10.0,10.0,9.0,9.0,133,1.9,13831,1.0,Russian Federation,1.0,True
26349,Russian Federation,Type O3,Quantum,ThetaBase Services,1.0,2,strict,2.0,False,False,1585.0,43481,26349,97.0,10.0,9.0,10.0,10.0,9.0,10.0,35,0.54,43481,1.0,Russian Federation,4.0,True
9169,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,True,False,1845.0,24781,9169,94.0,9.0,9.0,10.0,10.0,8.0,9.0,54,0.67,24781,1.0,Svalbard & Jan Mayen Islands,1.0,True
26104,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,4,strict,1.0,False,False,2170.0,23308,26104,86.0,9.0,8.0,9.0,10.0,9.0,9.0,73,0.96,23308,1.0,Tonga,2.0,True
24698,Faroe Islands,Type O3,Quantum,ThetaBase Services,1.0,2,flexible,2.0,False,False,1520.0,1539,24698,93.0,9.0,9.0,10.0,10.0,9.0,10.0,3,0.15,1539,1.0,Micronesia,3.0,False
50222,Nicaragua,Type V5,Plasma,ThetaBase Services,2.0,7,strict,3.0,True,False,3171.0,30435,50222,89.0,9.0,9.0,9.0,9.0,9.0,9.0,39,0.49,30435,0.99,Cape Verde,41.0,False
34345,Niue,Type F5,Plasma,ThetaBase Services,5.0,12,strict,7.0,False,False,4770.0,12017,34345,98.0,10.0,9.0,10.0,10.0,9.0,9.0,23,0.33,12017,1.0,Guinea,1.0,False
55690,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,True,False,1975.0,3840,55690,91.0,9.0,9.0,10.0,10.0,9.0,9.0,7,0.42,3840,1.0,Estonia,1.0,True
2915,Faroe Islands,Type F5,Quantum,ThetaBase Services,2.0,4,strict,3.0,False,False,2170.0,1539,2915,90.0,10.0,10.0,10.0,10.0,9.0,9.0,4,0.06,1539,1.0,Micronesia,3.0,False
46073,Indonesia,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,True,False,1910.0,22091,46073,88.0,9.0,9.0,9.0,10.0,9.0,10.0,15,0.22,22091,1.0,Faroe Islands,9.0,False
7998,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,1585.0,1294,7998,99.0,10.0,10.0,10.0,10.0,10.0,10.0,41,0.52,1294,1.0,Lebanon,1.0,False
41774,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,moderate,2.0,True,False,1845.0,38836,41774,92.0,9.0,9.0,10.0,10.0,10.0,9.0,16,0.26,38836,1.0,Lebanon,3.0,False
18936,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,2495.0,44046,18936,97.0,10.0,10.0,9.0,10.0,10.0,9.0,42,0.54,44046,1.0,Cuba,1.0,True
5833,Bouvet Island (Bouvetoya),Type V5,Plasma,"Banks, Wood and Phillips",5.0,7,strict,5.0,False,False,2495.0,35176,5833,98.0,10.0,10.0,10.0,10.0,9.0,9.0,66,0.83,35176,1.0,Chile,3.0,True
49989,Malta,Type V5,Plasma,"Banks, Wood and Phillips",1.0,1,moderate,1.0,True,False,1520.0,33514,49989,92.0,9.0,9.0,10.0,10.0,10.0,9.0,22,0.4,33514,1.0,Marshall Islands,2.0,True
69391,United Kingdom,Type O3,Quantum,ThetaBase Services,1.0,2,flexible,1.0,True,False,1195.0,21642,69391,85.0,9.0,9.0,9.0,9.0,8.0,9.0,56,0.77,21642,1.0,Denmark,1.0,False
